SALARY,HOURLY RATE,TITLE,DEPARTMENT
,$9.00 ,PROGRAM SPECIALIST V-A,PARK AND RECREATION
"$86,055.41 ",,ASSISTANT IT DIRECTOR,INFORMATION TECHNOLOGY
"$61,652.75 ",,ENVIRONMENTAL COORDINATOR,PUBLIC UTILITIES
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
"$44,605.65 ",,ADMINISTRATIVE ASSISTANT,GENERAL GOVERNMENT
,$7.00 ,PROGRAM SPECIALIST III,PARK AND RECREATION
,$7.00 ,PROGRAM SPECIALIST III,PARK AND RECREATION
,$14.00 ,OFFICIALS,PARK AND RECREATION
"$67,807.97 ",,CIVIL ENGINEER,INSPECTIONS
"$68,835.42 ",,CD PROGRAM MANAGER,COMMUNITY DEVELOPMENT
,$9.00 ,PROGRAM SPECIALIST V-A,PARK AND RECREATION
,$12.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
,$7.75 ,PROGRAM SPEC./AQUATICS (T),PARK AND RECREATION
,$7.75 ,PROGRAM SPEC./AQUATICS (T),PARK AND RECREATION
"$66,594.14 ",,SENIOR SYSTEMS ADMINISTRATOR,INFORMATION TECHNOLOGY
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
"$37,443.47 ",,FIRST CLASS FIREFIGHTER,FIRE
,$13.00 ,STAGE TECHNICIAN II(T),CONVENTION CENTER
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$9.00 ,COMMUNITY SERVICES REPRES.(T),POLICE
"$26,326.38 ",,SENIOR STAFF SUPPORT SPECIALIST,CONVENTION CENTER
,$40.00 ,PERFORMING ARTS INSTRUCTOR(T),PARK AND RECREATION
"$41,777.80 ",,COMPUTER OPERATOR,INFORMATION TECHNOLOGY
"$41,628.29 ",,SWS EQUIPMENT OPERATOR II,SOLID WASTE SERVICES
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
"$56,209.50 ",,ASSISTANT SWS OPERATIONS SUPERINTEN,SOLID WASTE SERVICES
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
"$42,806.84 ",,FIRST CLASS POLICE OFFICER,POLICE
,$9.00 ,PROGRAM COORDINATOR(T),PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$49,548.63 ",,MASTER POLICE OFFICER,POLICE
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$53,315.09 ",,PLANNER II,PLANNING
"$55,242.53 ",,POLICE DETECTIVE I,POLICE
,$24.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$26,592.80 ",,SERVICE WORKER,PARK AND RECREATION
,$10.00 ,PROGRAM SPECIALIST VI-A,PARK AND RECREATION
,$25.00 ,OFFICIALS,PARK AND RECREATION
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
"$30,285.05 ",,FIREFIGHTER,FIRE
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
,$12.00 ,PROGRAM SPECIALIST VI-F (T),PARK AND RECREATION
"$63,385.58 ",,POLICE DETECTIVE I,POLICE
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
"$35,428.54 ",,TRANSCRIPTIONIST,INFORMATION TECHNOLOGY
"$52,396.09 ",,FIRE LIEUTENANT,FIRE
,$13.00 ,STAGE TECHNICIAN II(T),CONVENTION CENTER
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
,$7.00 ,PROGRAM SPECIALIST III,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$33,000.03 ",,TREATMENT PLANT OPERATOR,PUBLIC UTILITIES
"$50,431.62 ",,SENIOR ENGINEERING INSPECTOR,PUBLIC UTILITIES
"$38,346.05 ",,SENIOR ENGINEERING INSPECTOR,PUBLIC UTILITIES
"$41,376.26 ",,FIRST CLASS FIREFIGHTER,FIRE
"$31,699.82 ",,SWS EQUIPMENT OPERATOR II,SOLID WASTE SERVICES
"$55,854.05 ",,POLICE DETECTIVE I,POLICE
"$53,392.25 ",,POLICE DETECTIVE I,POLICE
"$38,229.15 ",,LEAD SERVICE WORKER,PARK AND RECREATION
"$40,973.50 ",,RCCC PRODUCTION SUPERVISOR,CONVENTION CENTER
"$74,314.55 ",,BATTALION FIRE CHIEF,FIRE
,$12.00 ,PROGRAM SPECIALIST VI-F (T),PARK AND RECREATION
,$14.00 ,OFFICIALS,PARK AND RECREATION
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
"$32,797.13 ",,POLICE OFFICER,POLICE
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$41,380.06 ",,FIRST CLASS FIREFIGHTER,FIRE
"$49,552.12 ",,MASTER POLICE OFFICER,POLICE
"$38,305.18 ",,FIRST CLASS POLICE OFFICER,POLICE
"$48,713.90 ",,MASTER POLICE OFFICER,POLICE
,$48.00 ,PHYSICAL MOVEMT INSTRUCTOR(T),PARK AND RECREATION
,$20.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
"$59,388.64 ",,POLICE CORPORALS,POLICE
"$37,564.38 ",,PW MAINTENANCE SUPERVISOR,PUBLIC WORKS
,$8.50 ,SPECIALIST PROG. INSTRUCTOR,PARK AND RECREATION
,$10.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$35,258.70 ",,POLICE EQUIPMENT MECHANIC,POLICE
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$53,832.14 ",,ENGINEERING INSPECTOR,PUBLIC WORKS
"$98,511.94 ",,ASST. PUBLIC UTILITIES DIRECTOR,PUBLIC UTILITIES
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
"$43,366.17 ",,SENIOR FIREFIGHTER,FIRE
"$59,418.87 ",,FIRE CAPTAIN,FIRE
"$26,993.41 ",,SERVICE WORKER,PUBLIC WORKS
"$53,433.97 ",,FIRE LT/HAZMAT TECH,FIRE
"$51,485.67 ",,PLANNING TECHNICIAN,PLANNING
"$37,870.92 ",,ACCOUNTING TECHNICIAN,FINANCE
"$38,656.38 ",,SENIOR PLANT MAINTENANCE MECHANIC,PUBLIC UTILITIES
"$94,054.16 ",,POLICE MAJOR,POLICE
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
"$32,166.61 ",,POLICE OFFICER,POLICE
"$56,983.68 ",,PLANT EQUIPMENT MECHANIC,PARK AND RECREATION
,$18.00 ,OFFICIALS,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$71,198.41 ",,BUILDING PLANS EXAMINER SUPERVISOR,INSPECTIONS
,$18.00 ,OFFICIALS,PARK AND RECREATION
,$18.00 ,OFFICIALS,PARK AND RECREATION
"$68,863.92 ",,POLICE SERGEANT,POLICE
"$33,731.36 ",,SERVICE WORKER,PUBLIC UTILITIES
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$39,999.16 ",,ACCOUNTING TECHNICIAN,CONVENTION CENTER
"$40,193.90 ",,FIRST CLASS POLICE OFFICER,POLICE
"$67,233.94 ",,FIRE CAPTAIN,FIRE
"$40,671.76 ",,FIRST CLASS POLICE OFFICER,POLICE
"$25,050.48 ",,MAINTENANCE WORKER I,PARK AND RECREATION
"$47,075.25 ",,MASTER POLICE OFFICER,POLICE
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
"$38,526.59 ",,TREATMENT PLANT OPERATOR,PUBLIC UTILITIES
"$27,256.53 ",,SWS EQUIPMENT OPERATOR II,SOLID WASTE SERVICES
"$24,991.20 ",,WATER METER MECHANIC,PUBLIC UTILITIES
"$31,761.81 ",,SWS EQUIPMENT OPERATOR III,SOLID WASTE SERVICES
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
"$24,991.20 ",,EQUIPMENT OPERATOR III,PUBLIC UTILITIES
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
"$34,974.99 ",,GARDENER,PARK AND RECREATION
,$32.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
"$52,477.45 ",,HOUSING INSPECTOR (I),INSPECTIONS
,$7.75 ,PROGRAM SPEC./AQUATICS (T),PARK AND RECREATION
"$42,800.50 ",,FIRST CLASS POLICE OFFICER,POLICE
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
"$36,877.15 ",,MOTOR EQUIPMENT MECHANIC,PUBLIC WORKS
,$13.00 ,EQUIPMENT OPERATOR II,SOLID WASTE SERVICES
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$61,799.81 ",,FIRE CAPTAIN,FIRE
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$21,049.60 ",,SERVICE WORKER,SOLID WASTE SERVICES
,$18.00 ,OFFICIALS,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$62,448.86 ",,POLICE DETECTIVE I,POLICE
"$40,902.08 ",,REC FACIL & PROGRAM SUPV III,PARK AND RECREATION
"$39,250.19 ",,COMPUTER OPERATOR,INFORMATION TECHNOLOGY
"$28,645.76 ",,TRAFFIC SERVICES TECHNICIAN,PUBLIC WORKS
"$57,704.36 ",,COMMERCIAL PERMIT SPECIALIST,INSPECTIONS
"$43,366.17 ",,SENIOR FIREFIGHTER,FIRE
"$33,134.66 ",,PLANNING TECHNICIAN,PUBLIC WORKS
"$56,996.50 ",,SENIOR POLICE OFFICER,POLICE
"$34,661.17 ",,POLICE OFFICER,POLICE
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$16.00 ,OFFICIALS,PARK AND RECREATION
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
"$40,671.32 ",,FIRST CLASS POLICE OFFICER,POLICE
"$27,803.36 ",,EQUIPMENT OPERATOR II,PUBLIC UTILITIES
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$7.50 ,FACILITY COORDINATOR I,PARK AND RECREATION
"$103,594.98 ",,DEPUTY FINANCE DIRECTOR,FINANCE
"$20,560.38 ",,SERVICE WORKER,PARK AND RECREATION
,$9.75 ,ACTIVITY SPECIALIST V (T),PARK AND RECREATION
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
"$43,675.01 ",,SWS EQUIPMENT OPERATOR III,SOLID WASTE SERVICES
,$13.00 ,STAGE TECHNICIAN II(T),CONVENTION CENTER
"$35,581.31 ",,WATER & SEWER SUPERVISOR I,PUBLIC UTILITIES
,$12.00 ,PROGRAM SPECIALIST VI-F (T),PARK AND RECREATION
"$68,397.86 ",,POLICE SERGEANT,POLICE
"$189,999.98 ",,CITY ATTORNEY,GENERAL GOVERNMENT
"$27,131.73 ",,SERVICE WORKER,SOLID WASTE SERVICES
"$37,144.43 ",,CALL TAKER I,EMERGENCY COMMUNICATION
,$9.41 ,CUSTODIAL WORKER,SOLID WASTE SERVICES
"$64,579.14 ",,CODE ENFORCEMENT INSPECTOR (III),INSPECTIONS
"$31,040.05 ",,SERVICE WORKER,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$44,946.72 ",,MASTER POLICE OFFICER,POLICE
,$14.00 ,PROJECT ANALYST(T),PARK AND RECREATION
"$31,895.84 ",,STAFF SUPPORT SUPERVISOR,PARK AND RECREATION
,$40.00 ,PERMIT OPERATIONS SPECIALIST (T),INSPECTIONS
,$10.00 ,PROGRAM SPECIALIST VI-A,PARK AND RECREATION
"$23,417.26 ",,SERVICE WORKER,SOLID WASTE SERVICES
,$7.50 ,FACILITY COORDINATOR I,PARK AND RECREATION
"$52,514.72 ",,MASTER POLICE OFFICER,POLICE
"$48,031.35 ",,PLANNER II,PLANNING
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$26,092.84 ",,SENIOR STAFF SUPPORT SPECIALIST,INSPECTIONS
"$53,992.41 ",,MASTER POLICE OFFICER,POLICE
"$27,290.43 ",,SWS EQUIPMENT OPERATOR III,SOLID WASTE SERVICES
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$30,765.90 ",,TELECOMMUNICATOR I,EMERGENCY COMMUNICATION
"$54,052.98 ",,PLANNING TECHNICIAN,PLANNING
,$9.50 ,PROGRAM SPECIALIST V-C,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$51,767.57 ",,MASTER POLICE OFFICER,POLICE
,$9.00 ,PROGRAM SPECIALIST V-A,PARK AND RECREATION
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
"$55,631.13 ",,RECREATION PROGRAM MANAGER,PARK AND RECREATION
"$49,585.12 ",,GIS TECHNICIAN,INFORMATION TECHNOLOGY
,$9.00 ,YOUTH INSTRUCTOR(T),PARK AND RECREATION
"$51,756.83 ",,FIRE LIEUTENANT,FIRE
"$49,926.08 ",,SR. FIREFIGHTER/HAZMAT TECH,FIRE
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$25.00 ,OFFICIALS,PARK AND RECREATION
"$38,220.32 ",,REC FACIL & PROGRAM SUPV II,PARK AND RECREATION
"$26,615.68 ",,SWS EQUIPMENT OPERATOR II,SOLID WASTE SERVICES
,$16.00 ,OFFICIALS,PARK AND RECREATION
"$35,401.33 ",,UTILITY BILLING FIELD TECHNICIAN,FINANCE
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$16.00 ,OFFICIALS,PARK AND RECREATION
,$13.00 ,STAGE TECHNICIAN II(T),CONVENTION CENTER
"$124,199.97 ",,FIRE CHIEF,FIRE
"$34,779.47 ",,MAINTENANCE WORKER II,PARK AND RECREATION
"$67,721.91 ",,POLICE SERGEANT,POLICE
"$39,793.10 ",,COMMUNICATIONS MAINTENANCE SUPERVIS,POLICE
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
,$6.15 ,YOUTH EMPL PARTICIPANT I(T),COMMUNITY SERVICES
,$7.75 ,PROGRAM SPEC./AQUATICS (T),PARK AND RECREATION
"$65,065.61 ",,FIRE CAPTAIN,FIRE
"$29,120.00 ",,SERVICE WORKER,PUBLIC UTILITIES
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$38.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
"$68,883.58 ",,POLICE SERGEANT,POLICE
,$16.00 ,OFFICIALS,PARK AND RECREATION
,$14.00 ,OFFICIALS,PARK AND RECREATION
"$47,636.32 ",,MASTER POLICE OFFICER,POLICE
"$61,839.52 ",,SENIOR POLICE OFFICER,POLICE
"$34,564.19 ",,INFORMATION RESPONSE TECHNICIAN,POLICE
"$31,575.25 ",,SENIOR STAFF SUPPORT SPECIALIST,PUBLIC UTILITIES
"$53,255.31 ",,POLICE DETECTIVE I,POLICE
"$30,377.15 ",,TREATMENT PLANT OPERATOR,PUBLIC UTILITIES
"$38,443.18 ",,REC FACIL & PROGRAM SUPV I,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$71,198.41 ",,STAFF ANALYST,PERSONNEL
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$25,501.01 ",,SWS EQUIPMENT OPERATOR I,SOLID WASTE SERVICES
"$22,523.28 ",,SCALE OPERATOR,SOLID WASTE SERVICES
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$18.00 ,OFFICIALS,PARK AND RECREATION
"$23,426.83 ",,SERVICE WORKER,SOLID WASTE SERVICES
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
"$25,263.47 ",,SERVICE WORKER,SOLID WASTE SERVICES
"$25,124.53 ",,SERVICE WORKER,SOLID WASTE SERVICES
"$62,359.97 ",,POLICE DETECTIVE I,POLICE
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
"$34,840.83 ",,GARDENER,PARK AND RECREATION
"$37,443.47 ",,FIRST CLASS FIREFIGHTER,FIRE
,$6.15 ,YOUTH EMPL PARTICIPANT I(T),COMMUNITY SERVICES
"$34,404.58 ",,FIREFIGHTER,FIRE
"$42,461.33 ",,SENIOR TREATMENT PLANT OPERATOR,PUBLIC UTILITIES
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
,$20.00 ,VISUAL ARTS INSTRUCTOR(T),PARK AND RECREATION
"$42,144.13 ",,INFORMATION RESPONSE TECHNICIAN,POLICE
"$74,314.55 ",,BATTALION FIRE CHIEF,FIRE
,$11.00 ,PROGRAM COORDINATOR(T),PARK AND RECREATION
,$32.00 ,OFFICIALS,PARK AND RECREATION
"$98,631.83 ",,ATTORNEY,GENERAL GOVERNMENT
,$15.00 ,PROGRAM COORDINATOR(T),PARK AND RECREATION
"$24,753.25 ",,SWS EQUIPMENT OPERATOR I,SOLID WASTE SERVICES
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
"$42,372.43 ",,ACCOUNTING TECHNICIAN,COMMUNITY DEVELOPMENT
"$55,735.90 ",,POLICE CORPORALS,POLICE
"$41,289.57 ",,PARKS AND REC MARKETING COORD,PARK AND RECREATION
,$8.50 ,TICKET SELLER I(T),CONVENTION CENTER
"$69,963.35 ",,POLICE SERGEANT,POLICE
,$14.00 ,STAGE TECHNICIAN III(T),CONVENTION CENTER
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$40,267.56 ",,ZONING TECHNICIAN,INSPECTIONS
"$67,808.00 ",,LABORATORY SUPERVISOR,PUBLIC UTILITIES
"$27,583.92 ",,EQUIPMENT OPERATOR II,PUBLIC UTILITIES
"$25,082.51 ",,SERVICE WORKER,PUBLIC UTILITIES
,$9.41 ,CUSTODIAL WORKER,SOLID WASTE SERVICES
,$9.41 ,CUSTODIAL WORKER,SOLID WASTE SERVICES
,$14.00 ,OFFICIALS,PARK AND RECREATION
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$62,970.36 ",,CD PROGRAM MANAGER,COMMUNITY DEVELOPMENT
,$18.00 ,OFFICIALS,PARK AND RECREATION
"$41,616.40 ",,REC FACIL & PROGRAM SUPV II,PARK AND RECREATION
,$9.00 ,PROGRAM SPECIALIST V-A,PARK AND RECREATION
"$27,566.86 ",,SERVICE WORKER,SOLID WASTE SERVICES
"$46,689.33 ",,MASTER POLICE OFFICER,POLICE
"$48,189.93 ",,PLANNING ASSISTANT,PLANNING
"$21,049.60 ",,SERVICE WORKER,SOLID WASTE SERVICES
"$43,709.74 ",,SWS EQUIPMENT OPERATOR III,SOLID WASTE SERVICES
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$60,921.15 ",,POLICE DETECTIVE I,POLICE
"$24,991.20 ",,WATER METER MECHANIC,PUBLIC UTILITIES
"$48,782.49 ",,FIREFIGHTER,FIRE
,$8.50 ,SPECIALIST PROG. INSTRUCTOR,PARK AND RECREATION
"$68,716.50 ",,POLICE SERGEANT,POLICE
"$34,257.35 ",,POLICE OFFICER,POLICE
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$32.00 ,OFFICIALS,PARK AND RECREATION
,$14.00 ,OFFICIALS,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$12.00 ,EVENT SECURITY OFFICER II (T),CONVENTION CENTER
,$12.00 ,PROGRAM SPECIALIST VI-F (T),PARK AND RECREATION
"$68,883.58 ",,POLICE SERGEANT,POLICE
"$68,739.65 ",,POLICE SERGEANT,POLICE
"$55,752.12 ",,FIRE LIEUTENANT,FIRE
"$74,398.69 ",,ASSISTANT WATER & SEWER SUPERINTEND,PUBLIC UTILITIES
"$69,917.05 ",,POLICE SERGEANT,POLICE
"$42,511.87 ",,RCCC PRODUCTION SUPERVISOR,CONVENTION CENTER
,$8.50 ,PROGRAM COORDINATOR(T),PARK AND RECREATION
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
"$67,233.94 ",,FIRE CAPTAIN,FIRE
,$15.00 ,STAGE TECHNICIAN IV (T),CONVENTION CENTER
"$39,978.64 ",,TELECOMMUNICATOR I,EMERGENCY COMMUNICATION
"$14,999.86 ",,MAYOR,GENERAL GOVERNMENT
,$10.00 ,PROGRAM SPECIALIST VI-A,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
"$43,354.19 ",,SENIOR FIREFIGHTER,FIRE
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$8.50 ,TICKET SELLER I(T),CONVENTION CENTER
"$32,116.45 ",,EQUIPMENT OPERATOR II,PUBLIC UTILITIES
"$68,123.76 ",,FIRE CAPTAIN,FIRE
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$35,333.03 ",,HOUSING INSPECTOR (I),INSPECTIONS
"$48,201.92 ",,SWS EQUIPMENT OPERATOR III,SOLID WASTE SERVICES
"$53,940.95 ",,SENIOR ENGINEERING INSPECTOR,PUBLIC WORKS
"$51,107.68 ",,PROCESS CONTROL TRAINING OFFICER,PUBLIC UTILITIES
"$36,828.14 ",,FIRST CLASS POLICE OFFICER,POLICE
"$48,631.44 ",,FIRE EQUIPMENT MECHANIC,FIRE
,$18.00 ,OFFICIALS,PARK AND RECREATION
"$32,797.13 ",,POLICE OFFICER,POLICE
,$10.00 ,PROGRAM SPECIALIST VI-A,PARK AND RECREATION
,$40.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
"$50,732.79 ",,MASTER POLICE OFFICER,POLICE
"$43,208.04 ",,FIRST CLASS POLICE OFFICER,POLICE
"$55,349.41 ",,FIRE LIEUTENANT,FIRE
"$33,191.56 ",,POLICE OFFICER,POLICE
,$9.00 ,PROGRAM SPECIALIST V-A,PARK AND RECREATION
,$14.00 ,STAGE TECHNICIAN III(T),CONVENTION CENTER
,$13.00 ,STAGE TECHNICIAN II(T),CONVENTION CENTER
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
,$12.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
"$45,783.62 ",,FORESTRY SPECIALIST,INSPECTIONS
"$40,671.76 ",,FIRST CLASS POLICE OFFICER,POLICE
,$10.00 ,PROGRAM SPECIALIST VI-A,PARK AND RECREATION
"$23,801.23 ",,METER READER,PUBLIC UTILITIES
"$34,454.49 ",,CRIME ANALYST,POLICE
,$7.50 ,FACILITY COORDINATOR I,PARK AND RECREATION
"$24,991.20 ",,WATER METER MECHANIC,PUBLIC UTILITIES
"$69,917.05 ",,POLICE SERGEANT,POLICE
"$60,139.72 ",,POLICE DETECTIVE I,POLICE
,$9.41 ,CUSTODIAL WORKER,SOLID WASTE SERVICES
,$9.72 ,CL. ASSISTANT III (T),FINANCE
"$35,960.09 ",,STAFF SUPPORT SPECIALIST,INSPECTIONS
"$39,645.93 ",,SENIOR STAFF SUPPORT SPECIALIST,INSPECTIONS
,$9.00 ,PROGRAM SPECIALIST V-A,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
"$21,049.60 ",,SERVICE WORKER,SOLID WASTE SERVICES
"$41,879.56 ",,REC FACIL & PROGRAM SUPV III,PARK AND RECREATION
"$90,188.28 ",,POLICE CAPTAIN/DISTRICT COMMANDER,POLICE
"$46,799.99 ",,SYSTEMS ADMINISTRATOR,CONVENTION CENTER
"$26,835.95 ",,EQUIPMENT OPERATOR II,PUBLIC UTILITIES
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
"$47,756.00 ",,MASTER POLICE OFFICER,POLICE
,$13.00 ,STAGE TECHNICIAN II(T),CONVENTION CENTER
,$32.00 ,OFFICIALS,PARK AND RECREATION
"$33,191.56 ",,POLICE OFFICER,POLICE
,$25.00 ,OFFICIALS,PARK AND RECREATION
"$34,049.81 ",,TREATMENT PLANT OPERATOR,PUBLIC UTILITIES
,$25.00 ,PROGRAM COORDINATOR(T),PARK AND RECREATION
"$42,304.52 ",,FIRST CLASS POLICE OFFICER,POLICE
"$64,970.29 ",,POLICE DETECTIVE II,POLICE
"$29,609.01 ",,EQUIPMENT OPERATOR II,PUBLIC WORKS
"$22,503.10 ",,SERVICE WORKER,SOLID WASTE SERVICES
"$40,848.29 ",,ASST TELECOMMUNICATIONS SUPV,EMERGENCY COMMUNICATION
"$41,941.22 ",,PAYROLL TECHNICIAN,FINANCE
"$49,866.80 ",,FIRE LIEUTENANT,FIRE
,$9.00 ,COMMUNITY SERVICES REPRES.(T),POLICE
"$29,343.84 ",,TAXI INSPECTOR,POLICE
,$10.00 ,PROGRAM SPECIALIST V-C,PARK AND RECREATION
,$7.44 ,SERVICE WORKER,PARK AND RECREATION
"$64,579.14 ",,FIRE PROTECTION INSPECTOR,INSPECTIONS
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$38,782.43 ",,SWS EQUIPMENT OPERATOR II,SOLID WASTE SERVICES
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$30.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
,$12.00 ,OFFICIALS,PARK AND RECREATION
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
"$48,189.73 ",,TRANSPORTATION ANALYST,PUBLIC WORKS
"$37,199.55 ",,TELECOMMUNICATOR I,EMERGENCY COMMUNICATION
"$87,250.36 ",,POLICE CAPTAIN/DISTRICT COMMANDER,POLICE
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
,$8.50 ,SPECIALIST PROG. INSTRUCTOR,PARK AND RECREATION
"$34,830.08 ",,MULTI TRADES INSPECTOR (I),INSPECTIONS
"$65,084.88 ",,FIRE CAPTAIN,FIRE
,$11.00 ,PROGRAM COORDINATOR(T),PARK AND RECREATION
,$25.00 ,OFFICIALS,PARK AND RECREATION
,$10.00 ,PHYSICAL MOVEMT INSTRUCTOR(T),PARK AND RECREATION
"$23,982.33 ",,STAFF SUPPORT SPECIALIST,PUBLIC WORKS
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$31,667.54 ",,REC FACIL & PROGRAM SUPV I,PARK AND RECREATION
"$40,894.12 ",,FIRST CLASS FIREFIGHTER,FIRE
"$41,207.15 ",,CD PROGRAM SPECIALIST,COMMUNITY DEVELOPMENT
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$49,145.20 ",,CREW SUPERVISOR,SOLID WASTE SERVICES
"$24,753.27 ",,UB CUSTOMER SERVICE SPECIALIST,FINANCE
"$51,255.86 ",,MASTER POLICE OFFICER,POLICE
"$41,628.29 ",,SWS EQUIPMENT OPERATOR II,SOLID WASTE SERVICES
